"sample_molecule_ch1","sample_molecule_ch2","sample_source_name_ch1","sample_status","sample_library_selection","sample_library_source","sample_extract_protocol_ch1","sample_extract_protocol_ch2","sample_label_protocol_ch1","sample_source_name_ch2","sample_library_strategy","sample_characteristics_ch2","sample_label_protocol_ch2","sample_label_protocol","sample_series_id","sample_data_processing","sample_description","sample_characteristics_ch1","sample_organism_ch1","tissue","sample_type","sample_title","sample_name","sample_hyb_protocol","sample_label_ch2","disease_state","ethnicity","time_point","tmprss2","treatment","cancer_status","tissuer_type","tumor_type","age","gleason_score","pathologic_tumor_stage","gleason_grade","t.stage","margin_status","preop_psa","bcr","bcr_free_time"
"total RNA",NA,"metastatic prostate cancer xenograft","Public on Mar 11 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE28029",NA,"Gene expression in metastatic prostate cancer xenograft tissue.","tissue: metastatic prostate cancer","Homo sapiens",NA,"RNA","LTL313H","ltl313h",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total RNA",NA,"non-metastatic prostate cancer xenograft","Public on Mar 11 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE28029",NA,"Gene expression in non-metastatic prostate cancer xenograft tissue.","tissue: non-metastatic prostate cancer","Homo sapiens",NA,"RNA","LTL313B","ltl313b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
